date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-06-13 10:42:32,Khabarfast,,0,0,0,"ARMY CHIEF ON INDIA CHINA BORDER: भारत-चीन सीमा पर बोले सेना प्रमुख नरवणे- स्थिति नियंत्रण में है, कई स्तर पर हो रही है वार्ता https://www.khabarfast.com/army-chief-narwane-said-on-the-india-china-border-the-situation-is-under-control-talks-are-being-held-at-many-levels/",,,,1271754823797370881,https://twitter.com/Khabarfast/status/1271754823797370881
2020-06-13 10:39:37,UdaipurKiran,,0,0,0,"Situation along India-China border under control: Army Chief General MM Naravane ",,,,1271754088783503362,https://twitter.com/UdaipurKiran/status/1271754088783503362
2020-06-13 10:38:13,services_ns,,0,0,0,"Everything is under control: Army chief on India-China border row | India News – Times of India ",,,,1271753737145589765,https://twitter.com/services_ns/status/1271753737145589765
2020-06-13 10:37:19,Onegatein,,0,0,0,"Everything is under control: Army chief on India-China border row | India News ",,,,1271753508463788033,https://twitter.com/Onegatein/status/1271753508463788033
2020-06-13 10:37:11,news98info,,0,0,0,"Everything is under control: Army chief on India-China border row | India News – Times of India ",,,,1271753477463715841,https://twitter.com/news98info/status/1271753477463715841
2020-06-13 10:37:06,Iselfiereporter,,0,0,0,"Everything is under control: Army chief on India-China border row | India News – Times of India ",,,,1271753457645608961,https://twitter.com/Iselfiereporter/status/1271753457645608961
2020-06-13 10:36:44,trending2020,,0,0,0,"Everything is under control: Army chief on India-China border row | India News – Times of India https://toptrending2020.com/everything-is-under-control-army-chief-on-india-china-border-row-india-news-times-of-india/",,,,1271753361214357504,https://twitter.com/trending2020/status/1271753361214357504
2020-06-13 10:36:31,QtvNewsChannel,,1,0,0,"Everything is under control: Army chief on India-China border row | India News – Times of India ",,,,1271753310454898688,https://twitter.com/QtvNewsChannel/status/1271753310454898688
2020-06-13 10:36:04,vikramgee,,0,0,0,"Worth a listen to Amb @ShivshankaMenon on the ongoing India-China tension ",,@ShivshankaMenon,,1271753197556609024,https://twitter.com/vikramgee/status/1271753197556609024
2020-06-13 10:32:46,trexwildlife,China_Amb_India,0,0,0,"China has only culture now a days to destroy other cultures. Bloody Homo Mofo sapiens!",,,,1271752366425911296,https://twitter.com/trexwildlife/status/1271752366425911296
2020-06-13 10:32:05,phil_barratt,joohtweets,0,0,0,"Historically #slavery in #Africa was with #Muslims. In 1450 African leaders started trading people for weapons with Europeans in total 12million 1450-1830. Currently #slavery is over 40 million today. 58% is in #India #China #Pakistan #Russia and #Africa",,,#slavery #Africa #Muslims #slavery #India #China #Pakistan #Russia #Africa,1271752192635084800,https://twitter.com/phil_barratt/status/1271752192635084800
