date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-06-14 10:32:20,narendramodi,,15685,53671,415853,"Sushant Singh Rajput...a bright young actor gone too soon. He excelled on TV and in films. His rise in the world of entertainment inspired many and he leaves behind several memorable performances. Shocked by his passing away. My thoughts are with his family and fans. Om Shanti.",,,,1272114642039345153,https://twitter.com/narendramodi/status/1272114642039345153
2020-06-14 05:15:45,narendramodi,,756,2861,25048,"Greetings on the very special festival of Raja Parba. May this occasion strengthen the spirit of joy and brotherhood in society. I also pray for the good health and well-being of my fellow citizens.",,,,1272034972866473985,https://twitter.com/narendramodi/status/1272034972866473985
2020-06-14 05:15:44,narendramodi,,975,3526,31087,"ବିଶେଷ ଉତ୍ସବ ‘ରଜ ପର୍ବ’ ଅବସରରେ ଓଡ଼ିଶାବାସୀଙ୍କୁ ହାର୍ଦ୍ଦିକ ଶୁଭକାମନା । ଏହି ଅବସର ଆମ ସମାଜରେ ଆନନ୍ଦ ଓ ଭାତୃତ୍ୱକୁ ଆହୁରି ଦୃଢ଼ କରୁ । ରାଜ୍ୟବାସୀଙ୍କର ଉତ୍ତମ ସ୍ୱାସ୍ଥ୍ୟ ଓ ଉତ୍ତୋରତ୍ତର ଉନ୍ନତି କାମନା କରୁଛି ।",,,,1272034967040606209,https://twitter.com/narendramodi/status/1272034967040606209
2020-06-14 03:28:26,narendramodi,,1979,4037,21892,"Your ideas have always been the strength of #MannKiBaat, making it a vibrant platform that showcases the strengths of 130 crore Indians! Record your message: Dial 1800-11-7800 Write on: NaMo App. MyGov Open Forum.",,,#MannKiBaat,1272007967433347072,https://twitter.com/narendramodi/status/1272007967433347072
2020-06-14 03:27:51,narendramodi,,5379,7341,62003,"This month’s #MannKiBaat will take place on the 28th. Though 2 weeks away, please keep the ideas and inputs coming! It’ll enable me to go through maximum number of comments and phone calls. Am sure you’ll have much to say, on fighting COVID-19 and topics in addition to that.",,,#MannKiBaat,1272007820439764992,https://twitter.com/narendramodi/status/1272007820439764992
2020-06-13 13:53:45,narendramodi,,3355,6533,45999,"Reviewed the COVID-19 situation across the nation during a high level meeting. We also reviewed the roadmap ahead, and steps to contain the pandemic in the parts where most cases are coming from.",,,,1271802944468381696,https://twitter.com/narendramodi/status/1271802944468381696
2020-06-13 03:03:47,narendramodi,,3465,8390,85185,"Birthday greetings to my energetic Cabinet colleague Shri @PiyushGoyal Ji. He’s at the forefront of modernising our railways network. He is also making an effective contribution towards boosting commerce and enterprise in India. Praying for his long and healthy life.",,@PiyushGoyal,,1271639375542013960,https://twitter.com/narendramodi/status/1271639375542013960
2020-06-12 16:10:12,narendramodi,,1095,4023,30591,"Had a good talk with President @MagufuliJP on all aspects of our friendly relations with Tanzania. Also thanked him for taking care of Indian community in Tanzania during the COVID-19 crisis. India is committed to remain a reliable partner for Tanzania's development journey.",,@MagufuliJP,,1271474897085067268,https://twitter.com/narendramodi/status/1271474897085067268
2020-06-12 16:09:50,narendramodi,,1093,4808,39397,"Spoke with Prime Minister Thongloun Sisoulith and commended the effective management of COVID-19 in Lao PDR. Also reviewed our vibrant development cooperation, including archaeological preservation of sites that showcase the civilsational connections between our countries.",,,,1271474803271065601,https://twitter.com/narendramodi/status/1271474803271065601
2020-06-12 02:46:07,narendramodi,,2852,6771,65523,"भाजपा के कर्मठ और लोकप्रिय नेता एवं केंद्रीय मंत्रिमंडल में मेरे सहयोगी नरेन्द्र सिंह तोमर जी को जन्मदिन की हार्दिक शुभकामनाएं। वे किसानों के कल्याण और ग्रामीण विकास के लिए निरंतर समर्पित भाव से जुटे हुए हैं। ईश्वर उन्हें स्वस्थ रखे और दीर्घायु करे। @nstomar",,@nstomar,,1271272540372008960,https://twitter.com/narendramodi/status/1271272540372008960
